"","contest","candidate_count","year","contested","choice","party","district"
"21","NC HOUSE OF REPRESENTATIVES DISTRICT 110",2,2010,"Yes","Kelly E. Hastings","REP","110"
"22","NC HOUSE OF REPRESENTATIVES DISTRICT 110",2,2010,"Yes","John Eaker","DEM","110"
"23","NC HOUSE OF REPRESENTATIVES DISTRICT 111",2,2010,"Yes","Tim Moore","REP","111"
"24","NC HOUSE OF REPRESENTATIVES DISTRICT 111",2,2010,"Yes","Mary S. Accor","DEM","111"
"25","NC HOUSE OF REPRESENTATIVES DISTRICT 112",2,2010,"Yes","Jim Proctor","DEM","112"
"26","NC HOUSE OF REPRESENTATIVES DISTRICT 112",2,2010,"Yes","Mike Hager","REP","112"
"27","NC HOUSE OF REPRESENTATIVES DISTRICT 113",1,2010,"No","W. David Guice","REP","113"
"28","NC HOUSE OF REPRESENTATIVES DISTRICT 114",2,2010,"Yes","John Carroll","REP","114"
"29","NC HOUSE OF REPRESENTATIVES DISTRICT 114",2,2010,"Yes","Susan C. Fisher","DEM","114"
"30","NC HOUSE OF REPRESENTATIVES DISTRICT 115",2,2010,"Yes","Patsy Keever","DEM","115"
"31","NC HOUSE OF REPRESENTATIVES DISTRICT 115",2,2010,"Yes","Mark Crawford","REP","115"
"32","NC HOUSE OF REPRESENTATIVES DISTRICT 116",2,2010,"Yes","Tim Moffitt","REP","116"
"33","NC HOUSE OF REPRESENTATIVES DISTRICT 116",2,2010,"Yes","Jane Whilden","DEM","116"
"34","NC HOUSE OF REPRESENTATIVES DISTRICT 117",1,2010,"No","Chuck McGrady","REP","117"
"35","NC HOUSE OF REPRESENTATIVES DISTRICT 118",2,2010,"Yes","Samuel L. (Sam) Edwards","REP","118"
"36","NC HOUSE OF REPRESENTATIVES DISTRICT 118",2,2010,"Yes","Ray Rapp","DEM","118"
"37","NC HOUSE OF REPRESENTATIVES DISTRICT 119",2,2010,"Yes","Phil Haire","DEM","119"
"38","NC HOUSE OF REPRESENTATIVES DISTRICT 119",2,2010,"Yes","Dodie Allen","REP","119"
"39","NC HOUSE OF REPRESENTATIVES DISTRICT 12",2,2010,"Yes","William L. Wainwright","DEM","12"
"40","NC HOUSE OF REPRESENTATIVES DISTRICT 12",2,2010,"Yes","Mark W. Griffin","REP","12"
"41","NC HOUSE OF REPRESENTATIVES DISTRICT 120",2,2010,"Yes","Randy Hogsed","DEM","120"
"42","NC HOUSE OF REPRESENTATIVES DISTRICT 120",2,2010,"Yes","Roger West","REP","120"
"43","NC HOUSE OF REPRESENTATIVES DISTRICT 13",2,2010,"Yes","Craig K. Hassler","DEM","13"
"44","NC HOUSE OF REPRESENTATIVES DISTRICT 13",2,2010,"Yes","Patricia (Pat) McElraft","REP","13"
"45","NC HOUSE OF REPRESENTATIVES DISTRICT 14",1,2010,"No","George G. Cleveland","REP","14"
"46","NC HOUSE OF REPRESENTATIVES DISTRICT 15",2,2010,"Yes","George Shaeffer","UNA","15"
"47","NC HOUSE OF REPRESENTATIVES DISTRICT 15",2,2010,"Yes","Phillip Shepard","REP","15"
"48","NC HOUSE OF REPRESENTATIVES DISTRICT 16",2,2010,"Yes","Franklin (F. D.) Rivenbark","DEM","16"
"49","NC HOUSE OF REPRESENTATIVES DISTRICT 16",2,2010,"Yes","Carolyn Justice","REP","16"
"50","NC HOUSE OF REPRESENTATIVES DISTRICT 17",2,2010,"Yes","Frank Iler","REP","17"
"51","NC HOUSE OF REPRESENTATIVES DISTRICT 17",2,2010,"Yes","James A. Knox","DEM","17"
"52","NC HOUSE OF REPRESENTATIVES DISTRICT 18",2,2010,"Yes","Susi Hamilton","DEM","18"
"53","NC HOUSE OF REPRESENTATIVES DISTRICT 18",2,2010,"Yes","Beth Dawson","REP","18"
"54","NC HOUSE OF REPRESENTATIVES DISTRICT 19",1,2010,"No","Danny McComas","REP","19"
"55","NC HOUSE OF REPRESENTATIVES DISTRICT 2",2,2010,"Yes","Bob Steinburg","REP","2"
"56","NC HOUSE OF REPRESENTATIVES DISTRICT 2",2,2010,"Yes","Timothy L. (Tim) Spear","DEM","2"
"57","NC HOUSE OF REPRESENTATIVES DISTRICT 20",2,2010,"Yes","Dewey L. Hill","DEM","20"
"58","NC HOUSE OF REPRESENTATIVES DISTRICT 20",2,2010,"Yes","Tristan V. Patterson","REP","20"
"59","NC HOUSE OF REPRESENTATIVES DISTRICT 21",2,2010,"Yes","DeAnn G. Poirier","REP","21"
"60","NC HOUSE OF REPRESENTATIVES DISTRICT 21",2,2010,"Yes","Larry M. Bell","DEM","21"
"61","NC HOUSE OF REPRESENTATIVES DISTRICT 22",2,2010,"Yes","William Brisson","DEM","22"
"62","NC HOUSE OF REPRESENTATIVES DISTRICT 22",2,2010,"Yes","John Szoka","REP","22"
"63","NC HOUSE OF REPRESENTATIVES DISTRICT 23",2,2010,"Yes","Garland Shepheard","REP","23"
"64","NC HOUSE OF REPRESENTATIVES DISTRICT 23",2,2010,"Yes","Joe Tolson","DEM","23"
"65","NC HOUSE OF REPRESENTATIVES DISTRICT 24",2,2010,"Yes","Claiborne R. Holtzman","REP","24"
"66","NC HOUSE OF REPRESENTATIVES DISTRICT 24",2,2010,"Yes","Jean Farmer-Butterfield","DEM","24"
"67","NC HOUSE OF REPRESENTATIVES DISTRICT 25",2,2010,"Yes","Jeffrey L. (Jeff) Collins","REP","25"
"68","NC HOUSE OF REPRESENTATIVES DISTRICT 25",2,2010,"Yes","Randy Stewart","DEM","25"
"69","NC HOUSE OF REPRESENTATIVES DISTRICT 26",1,2010,"No","Leo Daughtry","REP","26"
"70","NC HOUSE OF REPRESENTATIVES DISTRICT 27",1,2010,"No","Michael H. Wray","DEM","27"
"71","NC HOUSE OF REPRESENTATIVES DISTRICT 28",2,2010,"Yes","James H. (J.H.) Langdon, Jr.","REP","28"
"72","NC HOUSE OF REPRESENTATIVES DISTRICT 28",2,2010,"Yes","Brian Allen","DEM","28"
"73","NC HOUSE OF REPRESENTATIVES DISTRICT 29",1,2010,"No","Larry D. Hall","DEM","29"
"74","NC HOUSE OF REPRESENTATIVES DISTRICT 3",3,2010,"Yes","Herb Sobel","LIB","3"
"75","NC HOUSE OF REPRESENTATIVES DISTRICT 3",3,2010,"Yes","Alice Graham Underhill","DEM","3"
"76","NC HOUSE OF REPRESENTATIVES DISTRICT 3",3,2010,"Yes","Norman Sanderson","REP","3"
"77","NC HOUSE OF REPRESENTATIVES DISTRICT 30",2,2010,"Yes","Jason Chambers","REP","30"
"78","NC HOUSE OF REPRESENTATIVES DISTRICT 30",2,2010,"Yes","Paul Luebke","DEM","30"
"79","NC HOUSE OF REPRESENTATIVES DISTRICT 31",2,2010,"Yes","H.M. (Mickey) Michaux","DEM","31"
"80","NC HOUSE OF REPRESENTATIVES DISTRICT 31",2,2010,"Yes","Patricia Ladd","REP","31"
"81","NC HOUSE OF REPRESENTATIVES DISTRICT 32",2,2010,"Yes","Jim Crawford","DEM","32"
"82","NC HOUSE OF REPRESENTATIVES DISTRICT 32",2,2010,"Yes","Barbara Howe","LIB","32"
"83","NC HOUSE OF REPRESENTATIVES DISTRICT 33",2,2010,"Yes","Paul Terrell","REP","33"
"84","NC HOUSE OF REPRESENTATIVES DISTRICT 33",2,2010,"Yes","Rosa U. Gill","DEM","33"
"85","NC HOUSE OF REPRESENTATIVES DISTRICT 34",2,2010,"Yes","Grier Martin","DEM","34"
"86","NC HOUSE OF REPRESENTATIVES DISTRICT 34",2,2010,"Yes","Steve Henion","REP","34"
"87","NC HOUSE OF REPRESENTATIVES DISTRICT 35",2,2010,"Yes","Don Frantz","REP","35"
"88","NC HOUSE OF REPRESENTATIVES DISTRICT 35",2,2010,"Yes","Jennifer Weiss","DEM","35"
"89","NC HOUSE OF REPRESENTATIVES DISTRICT 36",2,2010,"Yes","Robin Anderson","DEM","36"
"90","NC HOUSE OF REPRESENTATIVES DISTRICT 36",2,2010,"Yes","Nelson Dollar","REP","36"
"91","NC HOUSE OF REPRESENTATIVES DISTRICT 37",2,2010,"Yes","Paul Stam","REP","37"
"92","NC HOUSE OF REPRESENTATIVES DISTRICT 37",2,2010,"Yes","Debra McHenry","DEM","37"
"93","NC HOUSE OF REPRESENTATIVES DISTRICT 38",2,2010,"Yes","Madison E. Shook","REP","38"
"94","NC HOUSE OF REPRESENTATIVES DISTRICT 38",2,2010,"Yes","Deborah K. Ross","DEM","38"
"95","NC HOUSE OF REPRESENTATIVES DISTRICT 39",2,2010,"Yes","Darren Jackson","DEM","39"
"96","NC HOUSE OF REPRESENTATIVES DISTRICT 39",2,2010,"Yes","Duane Cutlip","REP","39"
"97","NC HOUSE OF REPRESENTATIVES DISTRICT 4",2,2010,"Yes","Jimmy Dixon","REP","4"
"98","NC HOUSE OF REPRESENTATIVES DISTRICT 4",2,2010,"Yes","Mott Blair","DEM","4"
"99","NC HOUSE OF REPRESENTATIVES DISTRICT 40",2,2010,"Yes","Violet Rhinehart","DEM","40"
"100","NC HOUSE OF REPRESENTATIVES DISTRICT 40",2,2010,"Yes","Marilyn Avila","REP","40"
"101","NC HOUSE OF REPRESENTATIVES DISTRICT 41",2,2010,"Yes","Chris Heagarty","DEM","41"
"102","NC HOUSE OF REPRESENTATIVES DISTRICT 41",2,2010,"Yes","Tom Murry","REP","41"
"103","NC HOUSE OF REPRESENTATIVES DISTRICT 42",1,2010,"No","Marvin W. Lucas","DEM","42"
"104","NC HOUSE OF REPRESENTATIVES DISTRICT 43",1,2010,"No","Elmer Floyd","DEM","43"
"105","NC HOUSE OF REPRESENTATIVES DISTRICT 44",2,2010,"Yes","Johnny Dawkins","REP","44"
"106","NC HOUSE OF REPRESENTATIVES DISTRICT 44",2,2010,"Yes","Diane Parfitt","DEM","44"
"107","NC HOUSE OF REPRESENTATIVES DISTRICT 45",2,2010,"Yes","Jackie Warner","REP","45"
"108","NC HOUSE OF REPRESENTATIVES DISTRICT 45",2,2010,"Yes","Rick Glazier","DEM","45"
"109","NC HOUSE OF REPRESENTATIVES DISTRICT 46",2,2010,"Yes","Douglas Y. Yongue","DEM","46"
"110","NC HOUSE OF REPRESENTATIVES DISTRICT 46",2,2010,"Yes","Gaston (G. L.) Pridgen","REP","46"
"111","NC HOUSE OF REPRESENTATIVES DISTRICT 47",2,2010,"Yes","Brawleigh Jason Graham","REP","47"
"112","NC HOUSE OF REPRESENTATIVES DISTRICT 47",2,2010,"Yes","Charles Graham","DEM","47"
"113","NC HOUSE OF REPRESENTATIVES DISTRICT 48",2,2010,"Yes","Garland E. Pierce","DEM","48"
"114","NC HOUSE OF REPRESENTATIVES DISTRICT 48",2,2010,"Yes","John F. Harry","REP","48"
"115","NC HOUSE OF REPRESENTATIVES DISTRICT 49",2,2010,"Yes","Glen Bradley","REP","49"
"116","NC HOUSE OF REPRESENTATIVES DISTRICT 49",2,2010,"Yes","John May","DEM","49"
"117","NC HOUSE OF REPRESENTATIVES DISTRICT 5",2,2010,"Yes","Matthew (Matt) Peeler","REP","5"
"118","NC HOUSE OF REPRESENTATIVES DISTRICT 5",2,2010,"Yes","Annie Ward Mobley","DEM","5"
"119","NC HOUSE OF REPRESENTATIVES DISTRICT 50",2,2010,"Yes","Bill Faison","DEM","50"
"120","NC HOUSE OF REPRESENTATIVES DISTRICT 50",2,2010,"Yes","Rick Smith","REP","50"
"121","NC HOUSE OF REPRESENTATIVES DISTRICT 51",2,2010,"Yes","Jimmy L. Love, Sr.","DEM","51"
"122","NC HOUSE OF REPRESENTATIVES DISTRICT 51",2,2010,"Yes","Michael (Mike) Stone","REP","51"
"123","NC HOUSE OF REPRESENTATIVES DISTRICT 52",1,2010,"No","Jamie Boles","REP","52"
"124","NC HOUSE OF REPRESENTATIVES DISTRICT 53",2,2010,"Yes","Abraham Oudeh","DEM","53"
"125","NC HOUSE OF REPRESENTATIVES DISTRICT 53",2,2010,"Yes","David Lewis","REP","53"
"126","NC HOUSE OF REPRESENTATIVES DISTRICT 54",2,2010,"Yes","Cathy Wright","REP","54"
"127","NC HOUSE OF REPRESENTATIVES DISTRICT 54",2,2010,"Yes","Joe Hackney","DEM","54"
"128","NC HOUSE OF REPRESENTATIVES DISTRICT 55",1,2010,"No","W.A. (Winkie) Wilkins","DEM","55"
"129","NC HOUSE OF REPRESENTATIVES DISTRICT 56",1,2010,"No","Verla Insko","DEM","56"
"130","NC HOUSE OF REPRESENTATIVES DISTRICT 57",2,2010,"Yes","Jon Hardister","REP","57"
"131","NC HOUSE OF REPRESENTATIVES DISTRICT 57",2,2010,"Yes","Mary Price (Pricey) Harrison","DEM","57"
"132","NC HOUSE OF REPRESENTATIVES DISTRICT 58",2,2010,"Yes","Darin H. Thomas","REP","58"
"133","NC HOUSE OF REPRESENTATIVES DISTRICT 58",2,2010,"Yes","Alma Adams","DEM","58"
"134","NC HOUSE OF REPRESENTATIVES DISTRICT 59",2,2010,"Yes","Theresa Yon","REP","59"
"135","NC HOUSE OF REPRESENTATIVES DISTRICT 59",2,2010,"Yes","Maggie Jeffus","DEM","59"
"136","NC HOUSE OF REPRESENTATIVES DISTRICT 6",2,2010,"Yes","Bill Cook","REP","6"
"137","NC HOUSE OF REPRESENTATIVES DISTRICT 6",2,2010,"Yes","Arthur Williams","DEM","6"
"138","NC HOUSE OF REPRESENTATIVES DISTRICT 60",2,2010,"Yes","Lonnie R. Wilson","REP","60"
"139","NC HOUSE OF REPRESENTATIVES DISTRICT 60",2,2010,"Yes","Marcus Brandon","DEM","60"
"140","NC HOUSE OF REPRESENTATIVES DISTRICT 61",1,2010,"No","John Faircloth","REP","61"
"141","NC HOUSE OF REPRESENTATIVES DISTRICT 62",2,2010,"Yes","Jeffery Simon","LIB","62"
"142","NC HOUSE OF REPRESENTATIVES DISTRICT 62",2,2010,"Yes","John M. Blust","REP","62"
"143","NC HOUSE OF REPRESENTATIVES DISTRICT 63",2,2010,"Yes","Roger Kirk Parker","REP","63"
"144","NC HOUSE OF REPRESENTATIVES DISTRICT 63",2,2010,"Yes","Alice Bordsen","DEM","63"
"145","NC HOUSE OF REPRESENTATIVES DISTRICT 64",1,2010,"No","Dan W. Ingle","REP","64"
"146","NC HOUSE OF REPRESENTATIVES DISTRICT 65",2,2010,"Yes","Bert Jones","UNA","65"
"147","NC HOUSE OF REPRESENTATIVES DISTRICT 65",2,2010,"Yes","Nelson Cole","DEM","65"
"148","NC HOUSE OF REPRESENTATIVES DISTRICT 66",2,2010,"Yes","Ken Goodman","DEM","66"
"149","NC HOUSE OF REPRESENTATIVES DISTRICT 66",2,2010,"Yes","James Haywood Parsons","REP","66"
"150","NC HOUSE OF REPRESENTATIVES DISTRICT 67",2,2010,"Yes","Justin P. Burr","REP","67"
"151","NC HOUSE OF REPRESENTATIVES DISTRICT 67",2,2010,"Yes","Kevin Furr","DEM","67"
"152","NC HOUSE OF REPRESENTATIVES DISTRICT 68",1,2010,"No","Craig Horn","REP","68"
"153","NC HOUSE OF REPRESENTATIVES DISTRICT 69",2,2010,"Yes","John L. Barker","REP","69"
"154","NC HOUSE OF REPRESENTATIVES DISTRICT 69",2,2010,"Yes","Pryor Gibson","DEM","69"
"155","NC HOUSE OF REPRESENTATIVES DISTRICT 7",1,2010,"No","Angela R. Bryant","DEM","7"
"156","NC HOUSE OF REPRESENTATIVES DISTRICT 70",1,2010,"No","Pat B. Hurley","REP","70"
"157","NC HOUSE OF REPRESENTATIVES DISTRICT 71",1,2010,"No","Larry Womble","DEM","71"
"158","NC HOUSE OF REPRESENTATIVES DISTRICT 72",2,2010,"Yes","Earline W. Parmon","DEM","72"
"159","NC HOUSE OF REPRESENTATIVES DISTRICT 72",2,2010,"Yes","John Magee","REP","72"
"160","NC HOUSE OF REPRESENTATIVES DISTRICT 73",1,2010,"No","Larry R. Brown","REP","73"
"161","NC HOUSE OF REPRESENTATIVES DISTRICT 74",2,2010,"Yes","Dale R. Folwell","REP","74"
"162","NC HOUSE OF REPRESENTATIVES DISTRICT 74",2,2010,"Yes","Cristina V. Vazquez","DEM","74"
"163","NC HOUSE OF REPRESENTATIVES DISTRICT 75",1,2010,"No","William C. (Bill) McGee","REP","75"
"164","NC HOUSE OF REPRESENTATIVES DISTRICT 76",1,2010,"No","Fred Steen II","REP","76"
"165","NC HOUSE OF REPRESENTATIVES DISTRICT 77",2,2010,"Yes","Lorene T. Coates","DEM","77"
"166","NC HOUSE OF REPRESENTATIVES DISTRICT 77",2,2010,"Yes","Harry Warren","REP","77"
"167","NC HOUSE OF REPRESENTATIVES DISTRICT 78",1,2010,"No","Harold J. Brubaker","REP","78"
"168","NC HOUSE OF REPRESENTATIVES DISTRICT 79",1,2010,"No","Julia Craven Howard","REP","79"
"169","NC HOUSE OF REPRESENTATIVES DISTRICT 8",1,2010,"No","Edith D. Warren","DEM","8"
"170","NC HOUSE OF REPRESENTATIVES DISTRICT 80",1,2010,"No","Jerry C. Dockham","REP","80"
"171","NC HOUSE OF REPRESENTATIVES DISTRICT 81",2,2010,"Yes","Rayne Brown","REP","81"
"172","NC HOUSE OF REPRESENTATIVES DISTRICT 81",2,2010,"Yes","L. Hugh Holliman","DEM","81"
"173","NC HOUSE OF REPRESENTATIVES DISTRICT 82",1,2010,"No","Jeff Barnhart","REP","82"
"174","NC HOUSE OF REPRESENTATIVES DISTRICT 83",1,2010,"No","Linda P. Johnson","REP","83"
"175","NC HOUSE OF REPRESENTATIVES DISTRICT 84",1,2010,"No","Phillip Frye","REP","84"
"176","NC HOUSE OF REPRESENTATIVES DISTRICT 85",2,2010,"Yes","Mitch Gillespie","REP","85"
"177","NC HOUSE OF REPRESENTATIVES DISTRICT 85",2,2010,"Yes","Beth Ostgaard","DEM","85"
"178","NC HOUSE OF REPRESENTATIVES DISTRICT 86",2,2010,"Yes","Walter Church, Jr.","DEM","86"
"179","NC HOUSE OF REPRESENTATIVES DISTRICT 86",2,2010,"Yes","Hugh Blackwell","REP","86"
"180","NC HOUSE OF REPRESENTATIVES DISTRICT 87",1,2010,"No","Edgar V. Starnes","REP","87"
"181","NC HOUSE OF REPRESENTATIVES DISTRICT 88",2,2010,"Yes","David Munday","DEM","88"
"182","NC HOUSE OF REPRESENTATIVES DISTRICT 88",2,2010,"Yes","Mark W. Hollo","REP","88"
"183","NC HOUSE OF REPRESENTATIVES DISTRICT 89",1,2010,"No","Mitchell Smith Setzer","REP","89"
"184","NC HOUSE OF REPRESENTATIVES DISTRICT 9",2,2010,"Yes","Marian N. McLawhorn","DEM","9"
"185","NC HOUSE OF REPRESENTATIVES DISTRICT 9",2,2010,"Yes","Stan Larson","REP","9"
"186","NC HOUSE OF REPRESENTATIVES DISTRICT 90",2,2010,"Yes","Sarah Stevens","REP","90"
"187","NC HOUSE OF REPRESENTATIVES DISTRICT 90",2,2010,"Yes","Randy Wolfe","DEM","90"
"188","NC HOUSE OF REPRESENTATIVES DISTRICT 91",2,2010,"Yes","Ed Gambill","DEM","91"
"189","NC HOUSE OF REPRESENTATIVES DISTRICT 91",2,2010,"Yes","Bryan Holloway","REP","91"
"190","NC HOUSE OF REPRESENTATIVES DISTRICT 92",1,2010,"No","Darrell McCormick","REP","92"
"191","NC HOUSE OF REPRESENTATIVES DISTRICT 93",2,2010,"Yes","Cullie Tarleton","DEM","93"
"192","NC HOUSE OF REPRESENTATIVES DISTRICT 93",2,2010,"Yes","Jonathan C. Jordan","REP","93"
"193","NC HOUSE OF REPRESENTATIVES DISTRICT 94",2,2010,"Yes","David H. Moulton","DEM","94"
"194","NC HOUSE OF REPRESENTATIVES DISTRICT 94",2,2010,"Yes","Shirley Blackburn Randleman","REP","94"
"195","NC HOUSE OF REPRESENTATIVES DISTRICT 95",1,2010,"No","Grey Mills","REP","95"
"196","NC HOUSE OF REPRESENTATIVES DISTRICT 96",2,2010,"Yes","Mark K. Hilton","REP","96"
"197","NC HOUSE OF REPRESENTATIVES DISTRICT 96",2,2010,"Yes","Gary Lafone","DEM","96"
"198","NC HOUSE OF REPRESENTATIVES DISTRICT 97",1,2010,"No","Johnathan Rhyne","REP","97"
"199","NC HOUSE OF REPRESENTATIVES DISTRICT 98",1,2010,"No","Thom Tillis","REP","98"
"200","NC HOUSE OF REPRESENTATIVES DISTRICT 99",2,2010,"Yes","Rodney W. Moore","DEM","99"
"201","NC HOUSE OF REPRESENTATIVES DISTRICT 99",2,2010,"Yes","Michael T. Wilson","REP","99"
